Regione;Ateneo;Immatricolati 07-08;Immatricolati 08-09;Immatricolati 09-10;Immatricolati 10-11;Immatricolati 11-12;Immatricolati 12-13;Immatricolati 13-14;Immatricolati 14-15;Immatricolati 15-16;Immatricolati 16-17;Immatricolati 17-18;Immatricolati 18-19;Immatricolati 19-20
PU;Bari;1019;0;240;347;247;336;338;341;349;348;297;263;307
ER;Bologna;589;626;0;364;325;312;287;294;303;312;333;302;261
SA;Cagliari;143;0;154;141;167;146;158;158;162;153;160;162;166
CA;Della Calabria;201;199;0;199;193;196;195;184;209;225;210;208;200
MA;Camerino;182;245;214;250;255;161;250;250;244;179;210;262;213
SI;Catania;902;322;0;228;233;236;220;189;247;238;229;221;213
ER;Ferrara;305;397;560;535;177;207;150;190;186;203;256;205;201
TO;Firenze;280;312;173;457;122;208;198;165;186;211;219;147;177
LI;Genova;207;258;361;168;161;174;167;156;164;140;134;134;111
SI;Messina;135;156;143;164;132;163;98;178;167;132;111;112;150
LO;Milano;858;915;977;785;545;551;571;400;462;469;341;424;412
ER;Modena e Reggio Emilia;171;0;247;146;147;144;164;165;164;186;158;143;150
CAM;Federico II Napoli;439;417;398;288;278;245;249;295;355;318;343;367;315
LO;Padova;288;220;196;182;166;155;233;244;233;254;231;205;190
SI;Palermo;189;223;255;245;232;233;198;231;195;198;191;201;166
ER;Parma;355;409;571;236;172;200;206;190;285;286;243;246;285
LO;Pavia;279;330;451;555;187;352;327;246;343;340;347;362;309
UM;Perugia;326;241;399;196;189;153;151;160;120;472;207;182;192
TO;Pisa;120;155;140;121;132;117;107;98;116;162;98;90;91
LA;La Sapienza Roma;405;369;388;382;374;415;357;377;435;395;368;381;389
LA;"Roma ""Tor Vergata""";0;0;39;49;45;33;44;52;65;84;69;66;61
CAM;Salerno;310;252;0;257;250;241;244;249;302;253;280;275;263
SA;Sassari;228;75;87;92;91;77;88;99;81;140;257;93;96
TO;Siena;260;278;279;381;1095;184;185;92;153;180;173;184;163
PI;Torino;224;183;181;232;227;176;238;196;234;197;186;165;175
FR;Trieste;209;135;0;122;120;111;113;115;127;131;111;135;127
BA;Basilicata;65;68;0;78;88;90;82;83;82;89;92;78;76
LO;Brescia;0;0;0;0;0;0;0;0;0;0;0;0;54
CAM;Univ. Vanvitelli;89;99;0;74;64;58;52;80;85;65;77;91;87
AB;Chieti-Pescara;558;651;0;1131;353;392;324;302;228;275;268;271;291
LO;Cattolica del Sacro Cuore;0;0;0;0;0;0;0;0;0;0;0;39;31
MA;"Urbino ""Carlo Bo""";151;190;0;258;213;132;234;234;255;274;253;247;246
CA;Magna Graecia Catanzaro;75;66;0;59;70;50;60;61;72;91;94;107;107
PI;Piemonte Orientale;78;0;275;125;172;135;138;133;129;460;269;278;276
